WKT;Tipo;Nombre de las calles;País;Departamento;Provincia;Distrito;Ubigeo;Nombre del personaje
LINESTRING (-77.1012502 -12.0727575, -77.1009485 -12.072907, -77.1007701 -12.072949, -77.1005998 -12.0729608, -77.1003906 -12.0729162, -77.1001572 -12.0728454, -77.0999789 -12.0726854, -77.0998314 -12.0724559, -77.099606 -12.0717608, -77.099362 -12.0710067, -77.0990911 -12.0701346);Calle;Calle Francisca Zubiaga;Perú;Lima;Lima;San Miguel;150136;Francisca Zubiaga y Bernales
LINESTRING (-77.0069731 -12.1134708, -77.0063562 -12.1134236, -77.0058358 -12.1133869, -77.0055891 -12.1134629, -77.0053611 -12.1136544, -77.0051036 -12.113914, -77.0046718 -12.1143231, -77.0039261 -12.1150312);Calle;Calle Gabriela Mistral;Perú;Lima;Lima;Surquillo;150141;Lucila Godoy Alcayaga
LINESTRING (-77.0772596 -12.0814901, -77.077151 -12.0810534);Calle;Calle Gabriela Mistral;Perú;Lima;Lima;San Miguel;150136;Lucila Godoy Alcayaga
LINESTRING (-77.1164096 -11.8790415, -77.1157954 -11.8788997);Calle;Calle Hayde Meza;Perú;Lima;Lima;Ventanilla (Callao);70106;Hayde Meza
LINESTRING (-77.0903376 -12.079381, -77.0903457 -12.0801521, -77.0903671 -12.080771, -77.0903537 -12.081251);Calle;Calle Inés Huaylas Yupanqui;Perú;Lima;Lima;San Miguel;150136;Inés Huaylas Yupanqui
LINESTRING (-77.0743382 -12.0854977, -77.07396 -12.0856636);Calle;Calle Isabel de Mendaña;Perú;Lima;Lima;San Miguel;150136;Isabel Barreto de Castro
LINESTRING (-77.0874091 -12.0748832, -77.0867627 -12.0751271, -77.0862664 -12.0752871, -77.0857327 -12.0754261);Calle;Calle Josefina Ramos de Cox;Perú;Lima;Lima;San Miguel;150136;Josefina Ramos de Cox
LINESTRING (-77.0816785 -12.0815677, -77.0811635 -12.0817356, -77.0804125 -12.0820503);Calle;Calle Josefina Sánchez;Perú;Lima;Lima;San Miguel;150136;Josefina Sánchez
LINESTRING (-77.1139821 -12.05796, -77.1134792 -12.0578491, -77.1128381 -12.0577154, -77.1124921 -12.0576236, -77.1124767 -12.0576209);Calle;Calle Julia Smith de Carrillo;Perú;Lima;Callao;Bellavista (Callao);70102;Julia Isabel Smith de Carrillo
LINESTRING (-77.0836951 -12.0163526, -77.0833464 -12.0156587);Calle;Calle Juana Alarco;Perú;Lima;Lima;San Martín de Porres;150135;Juana Alarco Espinoza de Dammert
LINESTRING (-76.9982279 -12.0524315, -76.9980589 -12.0524827, -76.9978859 -12.0525129, -76.9977491 -12.0524879, -76.9976432 -12.0524683, -76.9974916 -12.0524748, -76.997375 -12.0525168, -76.9972449 -12.0525876, -76.9971081 -12.0526676, -76.9970102 -12.0527175);Calle;Calle Juana Alarco de Dammert;Perú;Lima;Lima;El Agustino;150111;Juana Alarco Espinoza de Dammert
LINESTRING (-76.9510498 -12.1790069, -76.949891 -12.1788444, -76.9496711 -12.1788024, -76.9491347 -12.1790069, -76.9488852 -12.1791184, -76.9486358 -12.1792114, -76.9482643 -12.1793353, -76.9480944 -12.1793943);Calle;Calle Juana Alarco de Dammert;Perú;Lima;Lima;Villa María del Triunfo;150143;Juana Alarco Espinoza de Dammert
LINESTRING (-76.9019577 -12.2227532, -76.9017914 -12.2230284, -76.9016788 -12.2230756, -76.9009385 -12.2232381, -76.9004637 -12.2234006, -76.9002626 -12.2234111, -76.8995571 -12.2234269, -76.8990127 -12.2234609, -76.8988034 -12.2234714, -76.8984306 -12.2233928, -76.8977788 -12.2232145, -76.897634 -12.2231804);Calle;Calle Juana Cardenas;Perú;Lima;Lima;Villa El Salvador;150142;Juana Cardenas
LINESTRING (-77.0863103 -12.0814978, -77.0861628 -12.0810965, -77.0860421 -12.0806611, -77.0859831 -12.0804198, -77.0858865 -12.0798428, -77.0858382 -12.0794704);Calle;Calle Juana de Dios Manrique de Luna;Perú;Lima;Lima;San Miguel;150136;Juana de Dios Manrique de Luna
LINESTRING (-77.077658 -12.0819345, -77.0769874 -12.0820709);Calle;Calle Juana García;Perú;Lima;Lima;San Miguel;150136;Juana García González 
LINESTRING (-77.0827043 -12.0807709, -77.0825648 -12.0800129, -77.0825139 -12.0796064, -77.0824414 -12.0790897);Calle;Calle Juana Riofrio;Perú;Lima;Lima;San Miguel;150136;Sor Juana Riofrio
LINESTRING (-77.0876334 -12.0831916, -77.0879418 -12.083905);Calle;Calle Juana Toribio Ara;Perú;Lima;Lima;San Miguel;150136;Juana Toribio Ara
LINESTRING (-77.0343094 -12.0987574, -77.0342007 -12.0988387, -77.0340908 -12.0989423, -77.0339567 -12.0990485, -77.0338628 -12.0991009, -77.0338158 -12.0991272, -77.0337461 -12.0991075, -77.0336549 -12.0990682, -77.0335114 -12.0990078, -77.0334403 -12.0989829, -77.033384 -12.0990013, -77.0332714 -12.0990446, -77.0331493 -12.0990931, -77.0331319 -12.099097);Calle;Calle La Mariscala;Perú;Lima;Lima;San Isidro;150131;Francisca Zubiaga y Bernales
LINESTRING (-77.0329156 -12.0934097, -77.0328298 -12.093289, -77.0325911 -12.0929717, -77.0323096 -12.0926238, -77.0321983 -12.0925121);Calle;Calle La Perricholi;Perú;Lima;Lima;San Isidro;150131;María Micaela Villegas y Hurtado de Mendoza 
